System,Model,Implemented
NES,NES cart (NTSC),[x]
NES,Famicom Cart,[ ]
NES,Famicom Disk System disk,[ ]
GB / GBC,Game Boy / GBC Cart,[ ]
GBA,Game Boy Advance Cart,[ ]
NDS,Nintendo DS Cart,[ ]
3DS,Nintendo 3DS card,[ ]
Atari 2600,Atari 2600 Cart,[ ]
Atari 5200,Atari 5200 Cart,[ ]
Atari 7800,Atari 7800 Cart,[ ]
Atari Jaguar,Jaguar Cartridge,[ ]
Virtual Boy,Virtual Boy Cartridge,[ ]
Master System,Master System Card,[ ]
PSP,PSP UMD,[ ]
PlayStation,PS1 jewel case + inlay,[ ]
Genesis,Genesis / Mega Drive (EU) Cart,[ ]
