System,Model,Implemented
NES,NES Controller (Anim),[ ]
NES,Zapper,[ ]
SNES,SNES GamePad,[ ]
SNES,SNES Gamepad (New),[ ]
SNES,Super Scope,[ ]
N64,N64 Controller (Anim),[ ]
GameCube,Gamecube Controller (Indigo),[ ]
Wii,Wiimote (Anim),[ ]
Wii,Nunchuck (Anim),[ ]
Master System,SMS GamePad,[ ]
Genesis,Genesis Controller,[ ]
Genesis,Mega Drive GamePad,[ ]
Saturn,Saturn Controller,[ ]
Dreamcast,Dreamcast Controller,[ ]
Dreamcast,DC Controller (XL),[ ]
Atari 2600,Atari Joystick (Antony),[ ]
Atari 7800,Pro-Line Joystick,[ ]
Atari 7800,CX78 Controller,[ ]
PlayStation,PlayStation Controller,[ ]
PlayStation,PSX Classic (HighPoly),[ ]
PlayStation 2,PS2 Controller (Anim),[ ]
PlayStation 2,PS2 Controller (alt),[ ]
Neo Geo,Neo Geo AES controller,[ ]
Atari Jaguar,Jaguar Gamepad,[ ]
Amiga CD32,CD32 GamePad,[ ]
PC Engine,PC Engine Controller (Anim),[ ]
Commodore,Commodore Gamepad,[ ]
Sega,SJ-200 Controller,[ ]
Virtual Boy,VB Controller,[ ]
