System,Model,Implemented
NES,NES (NTSC),[ ]
NES,Famicom (JP),[ ]
NES,NTSC top loader,[ ]
SNES,Super Nintendo (PAL/SFC shape),[ ]
SNES,SNES (NTSC boxy),[ ]
N64,Nintendo 64,[ ]
GameCube,GameCube (Classic),[ ]
Wii,Nintendo Wii,[ ]
GB / GBC,DMG-01,[ ]
GB / GBC,Game Boy Color,[ ]
GBA,GBA (Arctic White),[ ]
GBA,GBA (Indigo),[ ]
GBA,GBA SP,[ ]
NDS,DS Phat,[ ]
NDS,DS Lite,[ ]
3DS,New 3DS XL,[ ]
3DS,Nintendo 3DS,[ ]
3DS,New 2DS XL,[ ]
Master System,Master System II,[ ]
Genesis,Sega Genesis,[ ]
Genesis,Sega Megadrive,[ ]
Genesis,Mega Drive II (JP),[ ]
32X,Mega Drive + 32X,[ ]
Saturn,Sega Saturn,[ ]
Saturn,Sega Saturn (New),[ ]
Dreamcast,Sega Dreamcast,[ ]
Game Gear,Sega Game Gear,[ ]
SG-1000,Sega SG-1000,[ ]
Atari 2600,Atari 2600 (woodgrain),[ ]
Atari 2600,Atari 2600 Junior,[ ]
Atari 5200,Atari 5200,[ ]
Atari Jaguar,Jaguar,[ ]
PlayStation,PSone,[ ]
PlayStation,PSX original (Mod),[ ]
PlayStation,PSX (Mod) Black Edition,[ ]
PlayStation 2,PS2 Slim,[ ]
PlayStation 2,PS2 Slim (Silver),[ ]
PlayStation 2,PS2 Fat,[ ]
PSP,PSP-1000,[ ]
PS3,PlayStation 3,[ ]
PS4,PlayStation 4,[ ]
PS Vita,Vita OLED,[ ]
Switch,Nintendo Switch,[ ]
Virtual Boy,Virtual Boy,[ ]
Neo Geo,Neo Geo arcade cabinet,[ ]
Neo Geo Pocket,NGP / NGP Color,[ ]
Atari Lynx,Lynx,[ ]
WonderSwan,WonderSwan,[ ]
Pokemon Mini,Pokemon Mini,[ ]
Supervision,Watara Supervision,[ ]
DOS / PC,Desktop tower,[ ]
3DO,Panasonic FZ-1,[ ]
PC Engine,PC Engine CD drive,[ ]
ColecoVision,ColecoVision,[ ]
Amiga CD32,CD32,[ ]
Commodore 64,C64 (1982),[ ]
Amiga,Amiga 500,[ ]
Atari ST,520 STe,[ ]
ZX Spectrum,+2 (Remastered),[ ]
